SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2008/3244,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2008-10-07,2008-10-08,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3245,Walton Backwaters,B011G,Tendring DC ,TM22142478,Kirby Creek,2008-10-07,2008-10-08,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3269,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2008-10-08,2008-10-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3270,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2008-10-08,2008-10-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3271,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-10-08,2008-10-09,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3285,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2008-10-13,2008-10-13,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3286,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3287,Blakeney,B006N,North Norfolk DC,TF91804550,Wells Beacon,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3288,Lyme Bay,B090K,East Devon DC,SY12068682,Chit Rocks,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3289,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3290,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3291,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3292,The Wash,,Boston BC,,Zone 2,2008-10-13,2008-10-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3293,The Wash,,Boston BC,,Zone 1,2008-10-13,2008-10-14,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3294,The Wash,,Boston BC,,Zone 2,2008-10-13,2008-10-14,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3295,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3296,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3297,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3298,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3299,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3300,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2008-10-13,2008-10-14,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3319,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-10-14,2008-10-14,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3320,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2008-10-14,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3321,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2008-10-14,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3322,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2008-10-14,2008-10-15,Mussels,NG,,,Insufficient,,<RL,Follow up sample requested
BTX/2008/3323,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-10-14,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3324,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2008-10-13,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3325,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2008-10-13,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3326,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2008-10-13,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3327,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-10-14,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3328,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2008-10-14,2008-10-15,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3329,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-10-14,2008-10-15,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3330,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2008-10-14,2008-10-15,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3331,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2008-10-14,2008-10-15,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3332,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-10-14,2008-10-15,Pacific Oysters,NG,,,,NEGATIVE,<RL,Follow up sample advised
BTX/2008/3333,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2008-10-14,2008-10-15,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3338,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2008-10-14,2008-10-15,Cockles,Unsuitable - spat,,,Unsuitable - spat,,Unsuitable - spat,Follow up sample requested
BTX/2008/3369,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2008-10-15,2008-10-16,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3370,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2008-10-15,2008-10-16,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3371,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2008-10-15,2008-10-16,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3372,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2008-10-15,2008-10-16,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3386,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2008-10-15,2008-10-17,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3390,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2008-10-20,2008-10-21,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3391,North Kent Coast,B17BD,Thanet DC,TR27406970,Minnis Bay,2008-10-20,2008-10-21,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3392,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2008-10-20,2008-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3393,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2008-10-20,2008-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3394,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2008-10-20,2008-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3395,Swale,B076A,Swale BC,TQ977006640,River Swale #1,2008-10-20,2008-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3396,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-10-20,2008-10-21,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3397,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2008-10-20,2008-10-21,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3398,Dee,B045S,Flintshire CC,SJ17648100,Salisbury Bank,2008-10-20,2008-10-21,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3418,Stour Estuary,B061A,Thanet DC,TR35806340,Pegwell Bay,2008-10-21,2008-10-22,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3419,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2008-10-20,2008-10-22,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3420,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2008-10-21,2008-10-22,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3421,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2008-10-21,2008-10-22,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3422,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2008-10-21,2008-10-22,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3423,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-10-21,2008-10-22,Pacific Oysters,,,,,NEGATIVE,,
BTX/2008/3424,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2008-10-21,2008-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3425,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2008-10-21,2008-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3426,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-10-21,2008-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3427,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2008-10-21,2008-10-22,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3449,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2008-10-22,2008-10-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3450,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2008-10-22,2008-10-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3451,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2008-10-22,2008-10-23,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3469,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-10-27,2008-10-28,Mussels,NG,,,,,,
BTX/2008/3470,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2008-10-27,2008-10-28,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3471,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2008-10-27,2008-10-28,Cockles,NG,,,Insufficient,,<RL,Follow up flesh sample requested
BTX/2008/3472,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2008-10-27,2008-10-28,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3487,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2008-10-28,2008-10-29,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3488,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-10-28,2008-10-29,Mussels,NG,,,Insufficient,,<RL,Follow up flesh sample requested
BTX/2008/3489,Dart,B028F,South Hams DC,SX87415599,Waddeton,2008-10-28,2008-10-29,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3490,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2008-10-28,2008-10-29,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3515,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2008-10-27,2008-10-30,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3530,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-10-30,2008-10-31,Mussels,,,,,NEGATIVE,,
BTX/2008/3531,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2008-10-30,2008-10-31,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3532,Exe,B026E,Teignbridge DC,SX97808090,Pool,2008-10-30,2008-10-31,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3535,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3536,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3537,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3538,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2008-11-03,2008-11-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3539,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3540,Fal,B033Y,Falmouth and Truro PHA,SW85024095,R Pontoon/Tregothnan,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3541,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3542,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2008-11-03,2008-11-04,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3543,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-11-02,2008-11-04,Cockles,NG,,,Insufficient,,<RL,Follow up flesh sample requested
BTX/2008/3544,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-11-02,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3545,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3546,Lyme Bay,B090K,East Devon DC,SY12068682,Chit Rocks,2008-11-03,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3547,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-11-02,2008-11-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3566,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-11-04,2008-11-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3567,Walton Backwaters,B011G,Tendring DC ,TM22142478,Kirby Creek,2008-11-04,2008-11-05,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3591,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2008-11-05,2008-11-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3592,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2008-11-05,2008-11-06,Surf Clams,,,ND,,NEGATIVE,<RL,
BTX/2008/3606,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-11-06,2008-11-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3611,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2008-11-10,2008-11-11,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3612,West Mersea,B013H,Colchester BC,TL99941328,Strood Channel,2008-11-10,2008-11-11,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3613,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2008-11-10,2008-11-11,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3614,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2008-11-10,2008-11-11,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3628,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-11-11,2008-11-11,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3629,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2008-11-11,2008-11-12,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3630,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-11-11,2008-11-12,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3631,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2008-11-11,2008-11-12,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3632,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2008-11-10,2008-11-12,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3656,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-11-12,2008-11-13,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3657,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2008-11-11,2008-11-13,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3658,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2008-11-12,2008-11-13,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3659,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2008-11-12,2008-11-13,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3677,Blakeney,B006N,North Norfolk DC,TF91804550,Wells Beacon,2008-11-12,2008-11-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3682,Southampton Water,B021D,Southampton PHA,SU45300770,Netley,2008-11-17,2008-11-18,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3683,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2008-11-17,2008-11-18,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3684,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2008-11-17,2008-11-18,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3685,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2008-11-17,2008-11-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3686,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2008-11-17,2008-11-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3687,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-11-17,2008-11-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3688,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-11-17,2008-11-18,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3689,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2008-11-17,2008-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3690,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2008-11-17,2008-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3691,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2008-11-17,2008-11-18,Native Oysters,Unsuitable,,,,Unsuitable,Unsuitable,Follow up flesh sample requested
BTX/2008/3692,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-11-17,2008-11-18,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3709,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2008-11-18,2008-11-19,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3710,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2008-11-18,2008-11-19,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3711,The Solent,B24BA,Isle of Wight Council,SZ59209390,Mother Bank - Church Spire,2008-11-18,2008-11-19,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3712,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2008-11-18,2008-11-19,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3713,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2008-11-18,2008-11-19,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3714,Glaslyn/Dwyryd Estuary,B074E,Gwynedd CC,SN57103860,Porthmadog Harbour,2008-11-18,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3715,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2008-11-18,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3716,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-11-16,2008-11-19,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3717,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-11-17,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3718,The Wash,B003C,Boston BC,TF46903900,Gat Sand,2008-11-17,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3719,Dart,B028F,South Hams DC,SX87415599,Waddeton,2008-11-18,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3720,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2008-11-18,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3721,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2008-11-18,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3722,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2008-11-17,2008-11-19,Cockles,Not tested,,,,Not tested,Not tested,
BTX/2008/3723,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2008-11-17,2008-11-19,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3724,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2008-11-17,2008-11-19,Cockles,Not tested,,,,Not tested,Not tested,
BTX/2008/3762,The Wash,B003D,Boston BC,TF44403720,Maretail,2008-11-18,2008-11-20,Mussels,Not Analysed,,,,Not Analysed,Not Analysed,
BTX/2008/3763,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2008-11-19,2008-11-20,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3764,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2008-11-19,2008-11-20,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3765,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2008-11-19,2008-11-20,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3766,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2008-11-19,2008-11-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3767,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2008-11-19,2008-11-20,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3791,Dee,B045S,Flintshire CC,SJ17648100,Salisbury Bank,2008-11-24,2008-11-25,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3792,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2008-11-24,2008-11-25,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3793,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2008-11-24,2008-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3794,Fowey,B070Q,Fowey PHA,SX13405165,Pont Pill No 34,2008-11-24,2008-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3795,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2008-11-24,2008-11-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3819,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2008-11-25,2008-11-26,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3820,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2008-11-25,2008-11-26,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2008/3833,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2008-11-26,2008-11-27,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3856,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-12-01,2008-12-02,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3857,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2008-12-01,2008-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3858,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2008-12-01,2008-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3859,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2008-12-01,2008-12-02,Native Oysters,NG,,,,NEGATIVE,<RL,Follow up flesh and water samples requested
BTX/2008/3860,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-11-30,2008-12-02,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/3861,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3862,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-11-30,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3863,Lyme Bay,B090K,East Devon DC,SY12068682,Chit Rocks,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3864,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3865,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3866,Exe,B026E,Teignbridge DC,SX97808090,Pool,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3867,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3868,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2008-12-01,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3869,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2008-12-02,2008-12-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3893,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2008-12-02,2008-12-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3894,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2008-12-02,2008-12-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/3907,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-12-03,2008-12-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/3908,Glaslyn/Dwyryd Estuary,B074E,Gwynedd CC,SN57103860,Porthmadog Harbour,2008-12-03,2008-12-04,Mussels,NG,,,,NEGATIVE,<RL,
