SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2011/1398,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-06-01,2011-06-02,Razors,NG,,,,NEGATIVE,<RL,
BTX/2011/1402,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-06-01,2011-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1403,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-06-02,2011-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1404,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2011-06-02,2011-06-03,Surf Clams,,,ND,,NEGATIVE,<RL,
BTX/2011/1405,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-06-02,2011-06-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1426,Ravenglass,B053D,Copeland DC,SD08139555,Ravenglass,2011-06-06,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1427,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-06-06,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1428,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-06-05,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1429,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-06-05,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1430,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-06-05,2011-06-07,Mussels,PS ,<RL,,,NEGATIVE,<RL,
BTX/2011/1431,The Wash,B003D,Boston BC,TF44403720,Maretail,2011-06-06,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1432,The Wash,B003L,Boston BC,TF47604700,Wrangle,2011-06-06,2011-06-07,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/1433,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-06-06,2011-06-07,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/1434,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-06-06,2011-06-07,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2011/1435,St. Austell Bay ,B070Y,Cornwall PHA,SX03974945,Ropehaven West,2011-06-06,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1436,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-06-06,2011-06-07,Mussels,PS,<RL,,,,<RL,
BTX/2011/1437,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2011-06-06,2011-06-07,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1438,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-06-07,2011-06-07,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1439,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-06-07,2011-06-07,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1468,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-06-07,2011-06-08,Pacific Oysters,NG,,,,POSITIVE,<RL,Additional flesh and water samples requested
BTX/2011/1469,Southampton Water,B021X,Southampton PHA,SU47780564,Hamble,2011-06-06,2011-06-08,Manila Clams,,,ND,,NEGATIVE,<RL,Additional flesh and water samples requested
BTX/2011/1470,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-06-07,2011-06-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1471,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2011-06-06,2011-06-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1472,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-06-07,2011-06-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1473,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-06-07,2011-06-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1492,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-06-08,2011-06-09,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1493,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-06-08,2011-06-09,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1494,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-06-07,2011-06-09,Pacific Oysters,PS,,ND,,NEGATIVE,<RL,
BTX/2011/1495,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-06-07,2011-06-09,Native Oysters,PS,,ND,,NEGATIVE,<RL,
BTX/2011/1496,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-06-07,2011-06-09,Mussels,PS,<RL,,,NEGATIVE,<RL,
BTX/2011/1497,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-06-07,2011-06-09,Mussels,PS,<RL,,,NEGATIVE,<RL,Additional flesh and water samples requested
BTX/2011/1503,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2011-06-09,2011-06-10,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/1525,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-06-13,2011-06-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1526,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-06-13,2011-06-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1527,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-06-13,2011-06-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1528,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-06-13,2011-06-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1529,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-06-13,2011-06-14,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/1530,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-06-13,2011-06-14,Mussels,NG,,,,,,
BTX/2011/1531,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-06-13,2011-06-14,Mussels,,,,,,<RL,
BTX/2011/1532,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-06-13,2011-06-14,Mussels,,,,,,<RL,
BTX/2011/1559,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-06-14,2011-06-15,Pacific Oysters,NG,,,,NEGATIVE,<RL,Additional flesh and water samples requested
BTX/2011/1560,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-06-14,2011-06-15,Pacific Oysters,PS,,ND,,,,
BTX/2011/1561,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-06-14,2011-06-15,Native Oysters,PS,,ND,,,,
BTX/2011/1562,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-06-14,2011-06-15,Mussels,PS ,56,,,,,Additional flesh and water samples requested
