SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2016/1736,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2016-06-07,2016-06-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1737,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2016-06-07,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1738,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-06-06,2016-06-08,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1739,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-06-06,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1740,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-06-07,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1741,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-06-07,2016-06-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1759,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2016-06-08,2016-06-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1760,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1761,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-06-08,2016-06-09,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1762,West Mersea,B13AA,Colchester BC,TM02991215,West Mersea Outfall,2016-06-08,2016-06-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1763,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1764,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2016-06-08,2016-06-09,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1765,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2016-06-08,2016-06-09,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1766,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2016-06-08,2016-06-09,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1767,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,2016-06-08,2016-06-09,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1770,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-06-08,2016-06-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1771,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-06-07,2016-06-09,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1772,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2016-06-07,2016-06-09,Surf clams,ND,,,<RL,<RL,<RL,2.1,
BTX/2016/1773,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2016-06-07,2016-06-09,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1774,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1775,Lune,B066Y,Wyre BC,SD34504760,Sea Centre South,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1776,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1777,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-06-08,2016-06-09,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1778,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1779,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-06-08,2016-06-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1780,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2016-06-08,2016-06-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1781,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2016-06-08,2016-06-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1798,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-06-13,2016-06-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1799,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-06-13,2016-06-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1800,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-06-13,2016-06-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1801,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-06-13,2016-06-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1802,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2016-06-13,2016-06-14,Mussels,,,,<RL,<RL,<RL,,
BTX/2016/1803,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-06-13,2016-06-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1804,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-06-13,2016-06-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1841,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2016-06-14,2016-06-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1842,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-06-14,2016-06-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1843,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2016-06-14,2016-06-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1844,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-06-14,2016-06-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1845,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-06-14,2016-06-15,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1846,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-06-14,2016-06-15,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1847,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-06-14,2016-06-15,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1848,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-06-14,2016-06-15,Pacific oysters,Detected,>400,493,<RL,<RL,<RL,<LOQ,
BTX/2016/1849,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2016-06-14,2016-06-15,Mussels,ND,,,,,,,
BTX/2016/1850,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2016-06-14,2016-06-15,Mussels,ND,,,,,,,
BTX/2016/1851,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-06-14,2016-06-15,Mussels,ND,,,,,,,
BTX/2016/1852,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-06-14,2016-06-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1868,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-06-15,2016-06-16,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1869,Colne,B012F,Colchester BC,TM0620816017,Pyefleet Spit,2016-06-15,2016-06-16,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1870,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2016-06-15,2016-06-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1871,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-06-15,2016-06-16,Mussels,,,,,,,<LOQ,
BTX/2016/1874,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-06-16,2016-06-17,Pacific oysters,ND,,,,,,,
BTX/2016/1899,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-06-20,2016-06-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1900,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-06-20,2016-06-21,Mussels,ND,,,50,<RL,<RL,<LOQ,
BTX/2016/1901,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-06-20,2016-06-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1902,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-06-20,2016-06-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1903,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2016-06-20,2016-06-21,Mussels,,,,,,,<LOQ,
BTX/2016/1904,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2016-06-20,2016-06-21,Pacific oysters,ND,,,,,,,
BTX/2016/1905,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-06-20,2016-06-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1906,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-06-20,2016-06-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1907,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2016-06-20,2016-06-21,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1908,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2016-06-20,2016-06-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1937,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2016-06-21,2016-06-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1938,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-06-21,2016-06-22,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1939,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-06-21,2016-06-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1940,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-06-21,2016-06-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1941,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,2016-06-21,2016-06-22,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2016/1942,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2016-06-20,2016-06-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1943,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2016-06-20,2016-06-22,Mussels,ND,,,,,,,
BTX/2016/1944,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-06-21,2016-06-22,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1945,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-06-21,2016-06-22,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1946,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2016-06-21,2016-06-22,Mussels,ND,,,,,,,
BTX/2016/1947,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2016-06-21,2016-06-22,Pacific oysters,ND,,,,,,,
BTX/2016/1948,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-06-21,2016-06-22,Pacific oysters,Detected,>400,2213,<RL,<RL,<RL,<LOQ,Additional flesh and water samples required
BTX/2016/1949,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-06-21,2016-06-22,Mussels,,,,<RL,<RL,<RL,<LOQ,
BTX/2016/1966,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-06-22,2016-06-23,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
