SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2015/1951,The Thames,B16CN,London PHA,TR00508769,East of Havengore Creek,2015-07-02,2015-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1952,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2015-07-02,2015-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1982,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2015-07-06,2015-07-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1983,West Mersea,B13AA,Colchester BC,TM02991215,West Mersea Outfall,2015-07-06,2015-07-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1984,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-07-06,2015-07-07,Pacific oysters,ND,,,,,,,
BTX/2015/1985,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2015-07-06,2015-07-07,Mussels,ND,,,52,<RL,<RL,<LOQ,
BTX/2015/1986,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2015-07-05,2015-07-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1987,Menai Strait - East,B055S,Gwynedd CC,SH58334732,West of Bangor Pier,2015-07-05,2015-07-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/1990,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2015-07-07,2015-07-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2016,Duddon,B052E,Barrow-in-Furness BC,SD17067656,Duddon Channel Upstream End,2015-07-07,2015-07-08,Mussels,,,,<RL,<RL,<RL,,
BTX/2015/2017,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-07-07,2015-07-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2018,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2015-07-07,2015-07-08,Mussels,ND,,,24,<RL,<RL,<LOQ,
BTX/2015/2019,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-07-07,2015-07-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2020,Dee,B45AG,Wirral BC,SJ21468468,West Kirby,2015-07-07,2015-07-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2040,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-07-09,2015-07-10,Mussels,ND,,,,,,,
BTX/2015/2041,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-07-09,2015-07-10,Mussels,ND,,,,,,,
BTX/2015/2042,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-07-09,2015-07-10,Mussels,ND,,,668,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2043,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2015-07-09,2015-07-10,Surf clams,ND,,,<RL,<RL,<RL,3.7,
BTX/2015/2072,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-07-13,2015-07-14,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2073,Colne,B012F,Colchester BC,TM06231601,Pyefleet Spit,2015-07-13,2015-07-14,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2074,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-07-13,2015-07-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2075,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-07-13,2015-07-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2076,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-07-13,2015-07-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2077,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-07-13,2015-07-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2078,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-07-13,2015-07-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2079,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-07-13,2015-07-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2109,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2015-07-14,2015-07-15,Mussels,ND,,,41,<RL,<RL,<LOQ,
BTX/2015/2110,Humber,B067J,East Lindsey DC,TA3914402804,Horseshoe Point East,2015-07-14,2015-07-15,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2112,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-07-14,2015-07-15,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2113,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-07-14,2015-07-15,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2114,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-07-14,2015-07-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2115,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-07-14,2015-07-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2116,Dee,B45AG,Wirral BC,SJ21468468,West Kirby,2015-07-14,2015-07-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2132,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-07-15,2015-07-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2133,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-07-15,2015-07-16,Mussels,ND,,,1433,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2134,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-07-15,2015-07-16,Mussels,ND,,,919,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2135,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2015-07-15,2015-07-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2136,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-07-15,2015-07-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2137,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2015-07-15,2015-07-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2138,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2015-07-15,2015-07-16,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2139,Porlock,B094A,West Somerset Council,SS87144783,Porlock Beach,2015-07-15,2015-07-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2144,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-07-16,2015-07-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2145,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2015-07-16,2015-07-17,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2146,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2015-07-16,2015-07-17,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2147,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-07-16,2015-07-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2172,Camel,B035X,Cornwall CC,SW9347530,Porthilly Cove,2015-07-20,2015-07-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2173,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-07-20,2015-07-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2174,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-07-20,2015-07-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2209,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2015-07-21,2015-07-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2210,Duddon,B052E,Barrow-in-Furness BC,SD17067656,Duddon Channel Upstream End,2015-07-21,2015-07-22,Mussels,ND,,,32,<RL,<RL,<LOQ,
BTX/2015/2211,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2015-07-21,2015-07-22,Mussels,ND,,,27,<RL,<RL,<LOQ,
BTX/2015/2212,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2015-07-21,2015-07-22,Mussels,ND,,,156,<RL,<RL,<LOQ,Additional flesh and water sampels requested
BTX/2015/2213,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-07-21,2015-07-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2214,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-07-21,2015-07-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2215,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-07-21,2015-07-22,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2216,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-07-21,2015-07-22,Pacific oysters,ND,,,<RL,<RL,<RL,1.1,
BTX/2015/2217,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-07-21,2015-07-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2233,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-07-22,2015-07-23,Mussels,ND,,,766,<RL,<RL,<LOQ,Additonal flesh and water samples requested
BTX/2015/2234,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-07-22,2015-07-23,Mussels,ND,,,1686,<RL,<RL,<LOQ,Additonal flesh and water samples requested
BTX/2015/2235,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-07-22,2015-07-23,Mussels,ND,,,425,<RL,<RL,<LOQ,Additonal flesh and water samples requested
BTX/2015/2236,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-07-22,2015-07-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2237,Lyme Bay,B090M,Torbay BC,Unverified,Site 1 Pilot West,2015-07-22,2015-07-23,Mussels,ND,,,36,<RL,<RL,<LOQ,
BTX/2015/2238,North Kent Coast,B17BS,Canterbury CC,TR10296690,WOCO Westbeach,2015-07-21,2015-07-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2239,Swale,B076P,Swale BC,TR01316497,The Causeway,2015-07-22,2015-07-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2265,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-07-27,2015-07-28,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2266,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-07-27,2015-07-28,Mussels,ND,,,146,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2267,Camel,B035X,Cornwall CC,SW93407530,Porthilly Cove,2015-07-27,2015-07-28,Mussels,ND,,,74,<RL,<RL,<LOQ,
BTX/2015/2268,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2015-07-27,2015-07-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2269,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2015-07-27,2015-07-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2303,West Mersea,B13AG,Colchester BC,TL97461342,Salcott Pacifics,2015-07-28,2015-07-29,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2304,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-07-28,2015-07-29,Mussels,ND,,,2152,122,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2305,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2015-07-28,2015-07-29,Mussels,ND,,,160,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2306,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-07-28,2015-07-29,Mussels,ND,,,1107,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2307,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-07-28,2015-07-29,Mussels,ND,,,158,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2308,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-07-28,2015-07-29,Mussels,Detected,<400,,401,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2309,Humber,B067J,East Lindsey DC,TA3914502804,Horseshoe Point East,2015-07-28,2015-07-29,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2310,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-07-27,2015-07-29,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2311,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2015-07-28,2015-07-29,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2312,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2015-07-28,2015-07-29,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2313,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-07-28,2015-07-29,Mussels,ND,,,26,<RL,<RL,<LOQ,
BTX/2015/2329,Conwy,B044H,Conwy CBC,SH76107970,Morfa ,2015-07-28,2015-07-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2330,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-07-29,2015-07-30,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2335,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-07-30,2015-07-31,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2361,Silloth,B059L,Allerdale BC,NY1004653448,Lees Scar,2015-08-03,2015-08-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2362,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-08-03,2015-08-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2363,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2015-08-03,2015-08-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2364,Menai Strait - East,B055S,Gwynedd CC,SH58334732,West of Bangor Pier,2015-08-02,2015-08-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2366,The Thames,B16CN,London PHA,TR00508769,East of Havengore Creek,2015-08-03,2015-08-04,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2367,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2015-08-03,2015-08-04,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2368,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-08-02,2015-08-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2369,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-08-03,2015-08-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2370,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-08-03,2015-08-04,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2371,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2015-08-03,2015-08-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2372,Porlock,B094A,West Somerset Council,SS87144783,Porlock Beach,2015-08-03,2015-08-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2400,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2015-08-04,2015-08-05,Mussels,Detected,<400,,87,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2401,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-08-04,2015-08-05,Mussels,ND,,,22,<RL,<RL,<LOQ,
BTX/2015/2402,West Mersea,B13AA,Colchester BC,TM02981216,West Mersea Outfall,2015-08-04,2015-08-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2417,Poole,B54BL,Poole BC,SZ01818871,West Brownsea 1,2015-08-05,2015-08-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2418,Duddon,B052E,Barrow-in-Furness BC,SD17067656,Duddon Channel Upstream End,2015-08-05,2015-08-06,Mussels,ND,,,15,<RL,<RL,<LOQ,
BTX/2015/2419,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-08-05,2015-08-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2420,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-08-05,2015-08-06,Mussels,ND,,,19,<RL,<RL,<LOQ,
BTX/2015/2428,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2015-08-06,2015-08-07,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2429,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-08-06,2015-08-07,Mussels,Detected,<400,,402,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2430,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-08-06,2015-08-07,Mussels,Detected,<400,,3277,82,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2431,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-08-06,2015-08-07,Mussels,Detected,<400,,949,37,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2456,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-08-10,2015-08-11,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2457,Colne,B012F,Colchester BC,TM06171602,Pyefleet Spit,2015-08-10,2015-08-11,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2458,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-08-10,2015-08-11,Mussels,ND,,,260,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2494,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-08-11,2015-08-12,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2495,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-08-10,2015-08-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2496,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-08-11,2015-08-12,Mussels,ND,,,61,<RL,<RL,<LOQ,
BTX/2015/2497,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-08-11,2015-08-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2513,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-08-12,2015-08-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2514,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2015-08-12,2015-08-13,Mussels,ND,,,328,<RL,<RL,<LOQ,Additional flesh and water sampels requested
BTX/2015/2515,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-08-13,2015-08-14,Mussels,ND,,,775,148,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2516,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-08-13,2015-08-14,Mussels,ND,,,213,31,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2517,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-08-13,2015-08-14,Mussels,Detected,<400,,155,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2518,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-08-13,2015-08-14,Mussels,Detected,<400,,53,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2519,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-08-13,2015-08-14,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2520,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-08-13,2015-08-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2521,Porlock,B094A,West Somerset Council,SS87144783,Porlock Beach,2015-08-13,2015-08-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2551,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-08-17,2015-08-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2552,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2015-08-17,2015-08-18,Mussels,ND,,,93,<RL,<RL,1,Additional flesh and water samples requested
BTX/2015/2553,The Thames,B16CM,London PHA,TR06779599,Crouch Approach,2015-08-17,2015-08-18,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2015/2554,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2015-08-17,2015-08-18,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2555,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2015-08-17,2015-08-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2556,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-08-17,2015-08-18,Mussels,ND,,,193,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2587,North Kent Coast,B17BS,Canterbury CC,TR1033066874,WOCO Westbeach,2015-08-18,2015-08-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2588,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2015-08-18,2015-08-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2589,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2015-08-18,2015-08-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2590,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2015-08-18,2015-08-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2591,Fal,B033N,Cornwall PHA,SW81963546,Mylor Creek ,2015-08-18,2015-08-19,Native oysters,Not Tested,,,Not Tested,Not Tested,Not Tested,Not Tested,
BTX/2015/2592,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2015-08-18,2015-08-19,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2593,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2015-08-18,2015-08-19,Mussels,Not Tested,,,Not Tested,Not Tested,Not Tested,Not Tested,
BTX/2015/2594,Menai Strait - East,B055S,Gwynedd CC,SH58334732,West of Bangor Pier,2015-08-17,2015-08-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2595,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-08-18,2015-08-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2596,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-08-17,2015-08-19,Pacific oysters,ND,,,97,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2597,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-08-18,2015-08-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2617,Morecambe Bay - Barrow,B077P,Barrow-in-Furness BC,SD18966846,South of Jubilee,2015-08-19,2015-08-20,Mussels,Not Tested,,,Not Tested,Not Tested,Not Tested,Not Tested,
BTX/2015/2618,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2015-08-19,2015-08-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2619,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2015-08-19,2015-08-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2620,Duddon,B052E,Barrow-in-Furness BC,SD17067656,Duddon Channel Upstream End,2015-08-19,2015-08-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2621,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2015-08-19,2015-08-20,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2622,The Wash,B003V,Boston BC,TF44234098,Toft,2015-08-17,2015-08-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2623,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2015-08-19,2015-08-20,Mussels,ND,,,281,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2624,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-08-19,2015-08-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2625,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-08-19,2015-08-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2626,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-08-19,2015-08-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2629,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-08-20,2015-08-21,Mussels,Detected,<400,,102,46,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2630,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-08-20,2015-08-21,Mussels,Detected,<400,,40,28,<RL,<LOQ,
BTX/2015/2631,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-08-20,2015-08-21,Mussels,ND,,,814,177,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2632,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2015-08-20,2015-08-21,Mussels,ND,,,380,128,<RL,<LOQ,Additional flesh and water samples requested
BTX/2015/2633,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-08-20,2015-08-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/2634,Swale,B076P,Swale BC,TR01316497,The Causeway,2015-08-20,2015-08-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
