SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg),ActionRequired
BTX/2019/1240,St. Austell Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2019-06-24,2019-06-25,Mussels,ND,,,102,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2019/1241,Porthallow Cove,B34AA,Cornwall PHA,SW80212387,Porthallow North,2019-06-24,2019-06-25,Mussels,,,,,,,<LOQ,
BTX/2019/1242,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2019-06-24,2019-06-25,Mussels,ND,,,,,,,
BTX/2019/1243,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-06-24,2019-06-25,Mussels,ND,,,106,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX/2019/1244,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2019-06-24,2019-06-25,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1245,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2019-06-24,2019-06-25,Native oysters,Detected,<400,,,,,,
BTX/2019/1246,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2019-06-24,2019-06-25,Pacific oysters,,,,,,,<LOQ,
BTX/2019/1247,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2019-06-24,2019-06-25,Mussels,ND,,,,,,,
BTX/2019/1248,Lyme Bay,B090V,Dorset Council,SY4591 8886,Lyme Bay Ensis West,2019-06-25,2019-06-25,Razors,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1266,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2019-06-25,2019-06-26,Mussels,ND,,,,,,,
