SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2013/0948,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-04-22,2013-04-23,Pacific oysters,ND,,,,,,
BTX/2013/0949,Crouch,B015W,Maldon DC,TQ864966,Purleigh Shawl,2013-04-22,2013-04-23,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0950,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-04-21,2013-04-23,Pacific oysters,ND,,,,,,
BTX/2013/0977,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-04-23,2013-04-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0978,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-04-23,2013-04-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0979,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2013-04-22,2013-04-24,Mussels,ND,,<RL,<RL,<RL,1.3,
BTX/2013/0980,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2013-04-23,2013-04-24,Mussels,ND,,,,,,
BTX/2013/0981,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-04-23,2013-04-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0993,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2013-04-24,2013-04-25,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0994,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2013-04-24,2013-04-25,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/0995,Burry Inlet,B038T,City and Council of Swansea,SS4418695601,Whitford Point,2013-04-24,2013-04-25,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1025,Dart,B028F,South Hams DC,SX87415599,Waddeton ,2013-04-29,2013-04-30,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1026,Colwyn Bay,B069A,Conwy CBC,SH832815,Rhos-on-Sea ,2013-04-29,2013-04-30,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1027,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2013-04-29,2013-04-30,Mussels,Not tested,,Not tested,Not tested,Not tested,Not tested,
BTX/2013/1055,Dee,B045Q,Wirral BC,SJ21038497,West Kirby,2013-04-30,2013-05-01,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1056,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-04-30,2013-05-01,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1057,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-04-30,2013-05-01,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1058,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-04-30,2013-05-01,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1059,West Mersea,B13AA,Colchester BC,TM0300412129,West Mersea Outfall,2013-04-30,2013-05-01,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1060,Swale,B076A,Swale BC,TQ97006640,Swale BC/1 ,2013-04-30,2013-05-01,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1061,Portland,B25AE,Weymouth PHA,SY69977672,North Eastern Breakwater,2013-05-01,2013-05-01,Mussels,,,,,,<LOQ,
BTX/2013/1074,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2013-04-30,2013-05-02,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1075,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-04-30,2013-05-02,Mussels,ND,,,,,,
BTX/2013/1076,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2013-04-30,2013-05-02,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1110,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2013-05-07,2013-05-08,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1111,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1112,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-05-07,2013-05-08,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1113,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1114,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1115,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2013-05-07,2013-05-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
