SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2013/2595,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2013-09-03,2013-09-03,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2628,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-09-03,2013-09-04,Mussels,,,146,<RL,<RL,,Additional flesh sample required
BTX/2013/2629,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-09-03,2013-09-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2630,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-09-03,2013-09-04,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/2631,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2013-09-03,2013-09-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2632,Taw/Torridge,B036F,North Devon DC,SS47403210,Cool Stone - Instow ,2013-09-03,2013-09-04,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2633,Poole,B54BL,Poole BC,SZ01818870,West Brownsea 1,2013-09-03,2013-09-04,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2634,Roach,B73AF,London PHA,TQ94909207,Paglesham,2013-09-03,2013-09-04,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2635,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-09-03,2013-09-04,Native oysters,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/2636,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-09-03,2013-09-04,Mussels,Detected,462,,,,,Additional flesh and water samples required
BTX/2013/2637,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-09-03,2013-09-04,Mussels,Detected,776,,,,,Additional flesh and water samples required
BTX/2013/2638,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2013-09-03,2013-09-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2639,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2013-09-03,2013-09-04,Pacific oysters,ND,,329,<RL,<RL,<LOQ,Additional flesh and water samples required
BTX/2013/2640,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2013-09-03,2013-09-04,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2655,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2013-09-04,2013-09-05,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2656,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2013-09-04,2013-09-05,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2657,Burry Inlet,B038I,City and Council of Swansea,SS511399645,South East 4,2013-09-04,2013-09-05,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2658,Burry Inlet,B038T,City and Council of Swansea,SS4418695601,Whitford Point,2013-09-04,2013-09-05,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2659,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2013-09-04,2013-09-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2660,Teign,B027G,Teignbridge DC,SX92737273,Gas Works ,2013-09-04,2013-09-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2661,Exe,B026E,Teignbridge DC,SX97808090,Pool,2013-09-04,2013-09-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2670,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2013-09-05,2013-09-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2671,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2013-09-05,2013-09-06,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2672,Portland,B25AE,Weymouth PHA,SY69947680,North Eastern Breakwater,2013-09-09,2013-09-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2695,West Mersea,B013W,Colchester BC,TL98211312,Salcott Upper,2013-09-09,2013-09-10,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2696,The Wash,B003L,Boston BC,TF47734858,Wrangle,2013-09-09,2013-09-10,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2697,Blackwater,B014Z,Maldon DC,TM050019,Grange Outfall,2013-09-09,2013-09-10,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2698,Lune,B066L,Wyre BC,SD34504760,Sea Centre ,2013-09-09,2013-09-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2699,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52292843,Breast Sand,2013-09-09,2013-09-10,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2732,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2013-09-10,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2733,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2013-09-10,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2734,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe ,2013-09-10,2013-09-11,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2735,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-09-10,2013-09-11,Mussels,Detected,<RL,,,,,
BTX/2013/2736,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-09-10,2013-09-11,Mussels,Detected,312,,,,,
BTX/2013/2737,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-09-10,2013-09-11,Pacific oysters,Detected,<RL,,,,,
BTX/2013/2738,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2013-09-09,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2739,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2013-09-09,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2740,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-09-10,2013-09-11,Mussels,,,<RL,<RL,<RL,,
BTX/2013/2741,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-09-10,2013-09-11,Native oysters,Detected,<RL,<RL,<RL,<RL,,
BTX/2013/2742,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-09-10,2013-09-11,Mussels,ND,,,,,,
BTX/2013/2743,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-09-10,2013-09-11,Mussels,,,159,38,<RL,,Additional flesh sample required
BTX/2013/2744,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2013-09-10,2013-09-11,Cockles,ND,,,,,,
BTX/2013/2745,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-09-10,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2746,Dart,B028F,South Hams DC,SX87415599,Waddeton ,2013-09-10,2013-09-11,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2748,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2013-09-10,2013-09-11,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2749,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2013-09-10,2013-09-11,Pacific oysters,,,<RL,<RL,<RL,,
BTX/2013/2750,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2013-09-10,2013-09-11,Pacific oysters,,,<RL,<RL,<RL,,
BTX/2013/2768,Swale,B076A,Swale BC,TQ97006640,Swale BC/1 ,2013-09-11,2013-09-12,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2772,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2013-09-12,2013-09-13,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2796,Burry Inlet,B038B,Carmarthenshire CC,SS47959886,North (West),2013-09-16,2013-09-17,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2797,Ribble,B046V,West Lancashire DC,SD31642337,South Gut,2013-09-16,2013-09-17,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2798,Crouch,B015W,Maldon DC,TQ864966,Purleigh Shawl,2013-09-16,2013-09-17,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2799,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-09-16,2013-09-17,Mussels,,,118,<RL,<RL,,Additional flesh & water samples requested
BTX/2013/2828,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels ,2013-09-17,2013-09-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2829,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2013-09-17,2013-09-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2830,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2013-09-17,2013-09-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2831,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-09-17,2013-09-18,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2832,Poole,B54CI,Poole BC,SZ01818871,West Brownsea,2013-09-17,2013-09-18,Mussels,ND,,,,,,
BTX/2013/2833,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2013-09-17,2013-09-18,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2834,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2013-09-17,2013-09-18,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2835,Walton Backwaters,B011R,Tendring DC,TM22142478,Kirby Creek ,2013-09-17,2013-09-18,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2850,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2013-09-18,2013-09-19,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2851,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-09-18,2013-09-19,Mussels,Detected,426,<RL,<RL,<RL,<LOQ,Additional flesh and water samples required
BTX/2013/2881,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-09-23,2013-09-24,Mussels,ND,,,,,,
BTX/2013/2882,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-09-23,2013-09-24,Mussels,ND,,,,,,
BTX/2013/2883,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2013-09-23,2013-09-24,Mussels,ND,,,,,,
BTX/2013/2884,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-09-23,2013-09-24,Mussels,ND,,,,,,
BTX/2013/2885,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2013-09-23,2013-09-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2886,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-09-23,2013-09-24,Mussels,ND,,70,<RL,<RL,<LOQ,
BTX/2013/2918,Dee,B045S,Flintshire CC,SJ17608040,Salisbury Bank,2013-09-24,2013-09-25,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2919,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2013-09-24,2013-09-25,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2920,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2013-09-24,2013-09-25,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2936,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-09-25,2013-09-26,Mussels,Detected,437,,,,,Additional flesh and water samples required
BTX/2013/2938,West Mersea,B13AA,Colchester BC,TM02991215,West Mersea Outfall,2013-09-25,2013-09-26,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2986,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-10-01,2013-10-02,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/2987,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-10-01,2013-10-02,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/2988,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2013-10-01,2013-10-02,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2989,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-10-01,2013-10-02,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2990,Ribble,B046V,West Lancashire DC,SD31642337,South Gut,2013-10-01,2013-10-02,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2991,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2013-09-30,2013-10-02,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2992,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2013-10-01,2013-10-02,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/2993,North Kent Coast,B17AM,Canterbury CC,TR0818465478,Pollard,2013-09-30,2013-10-02,Pacific oysters,,,<RL,<RL,<RL,,
BTX/2013/3012,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2013-10-02,2013-10-03,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3013,Burry Inlet,B038T,City and Council of Swansea,SS4418695601,Whitford Point,2013-10-02,2013-10-03,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3014,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2013-10-02,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3015,Colne,B012F,Colchester BC,TM06361623,Pyefleet Spit,2013-10-02,2013-10-03,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3016,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-10-02,2013-10-03,Pacific oysters,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/3017,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2013-10-01,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3018,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2013-10-02,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3019,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow ,2013-10-02,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3020,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-10-02,2013-10-03,Mussels,Detected,1150,,,,,
BTX/2013/3021,Teign,B027G,Teignbridge DC,SX92737273,Gas Works ,2013-10-01,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3022,Exe,B026E,Teignbridge DC,SX97808090,Pool,2013-10-01,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3023,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2013-10-02,2013-10-03,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3024,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2013-10-01,2013-10-03,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3033,Portland,B25AE,Weymouth PHA,SY69947680,North Eastern Breakwater,2013-10-07,2013-10-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3053,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52292843,Breast Sand,2013-10-07,2013-10-08,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3054,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-10-07,2013-10-08,Mussels,Detected,1271,,,,,
BTX/2013/3055,Portsmouth Harbour,B020C,Portsmouth PHA,SU6271804408,Portchester Lake ,2013-10-07,2013-10-08,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3056,Dart,B028F,South Hams DC,SX87415599,Waddeton ,2013-10-07,2013-10-08,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3059,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2013-10-07,2013-10-08,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3061,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2013-10-08,2013-10-08,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3087,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3088,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-10-08,2013-10-09,Mussels,Detected,<RL,,,,,
BTX/2013/3089,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3090,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3091,St Ives Bay,B088G,Cornwall PHA,SW54323928,St Ives Central,2013-10-08,2013-10-09,Razors,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3092,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3093,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-10-08,2013-10-09,Mussels,ND,,44,<RL,<RL,<LOQ,
BTX/2013/3094,The Wash,B003L,Boston BC,TF47734858,Wrangle,2013-10-08,2013-10-09,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3095,The Wash,B003D,Boston BC,TF44443712,Maretail,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3096,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-10-08,2013-10-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3097,Lune,B066L,Wyre BC,SD34504760,Sea Centre ,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3098,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2013-10-08,2013-10-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3099,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2013-10-08,2013-10-09,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3100,Walton Backwaters,B011R,Tendring DC,TM22142478,Kirby Creek ,2013-10-08,2013-10-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3101,North Kent Coast,B17AM,Canterbury CC,TR0821065468,Pollard,2013-10-08,2013-10-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3113,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD2336470,Roa Island,2013-10-09,2013-10-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3114,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2013-10-09,2013-10-10,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3140,Burry Inlet,B038B,Carmarthenshire CC,SS47959886,North (West),2013-10-14,2013-10-15,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3141,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-10-14,2013-10-15,Mussels,,,<RL,<RL,<RL,,
BTX/2013/3172,St Ives Bay,B088G,Cornwall PHA,SW54323928,St Ives Central,2013-10-15,2013-10-16,Razors,,,<RL,<RL,<RL,,
BTX/2013/3173,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels ,2013-10-15,2013-10-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3174,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-10-15,2013-10-16,Mussels,Detected,635,,,,,
BTX/2013/3175,Crouch,B015W,Maldon DC,TQ86459657,Purleigh Shawl,2013-10-15,2013-10-16,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3176,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2013-10-15,2013-10-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3195,Roach,B73AF,London PHA,TQ94909207,Paglesham,2013-10-16,2013-10-17,Hard clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3203,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2013-10-17,2013-10-18,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3224,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2013-10-21,2013-10-22,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3225,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-10-21,2013-10-22,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3226,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-10-21,2013-10-22,Mussels,Detected,294,<RL,<RL,<RL,<LOQ,
BTX/2013/3227,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-10-20,2013-10-22,Mussels,Detected,<RL,<RL,<RL,<RL,<LOQ,
BTX/2013/3255,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos-on-Sea ,2013-10-22,2013-10-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3256,Conwy,B044H,Conwy CBC,SH76107970,Morfa ,2013-10-22,2013-10-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3257,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe ,2013-10-22,2013-10-23,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3258,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2013-10-22,2013-10-23,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3259,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2013-10-22,2013-10-23,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3275,Dee,B45AB,Flintshire CC,SJ17608040,Salisbury,2013-10-23,2013-10-24,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3276,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2013-10-23,2013-10-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3277,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2013-10-23,2013-10-24,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3333,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2013-10-29,2013-10-30,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3335,West Mersea,B013W,Colchester BC,TL97931317,Salcott Upper,2013-10-29,2013-10-30,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3351,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2013-10-30,2013-10-31,Surf clams,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3379,Colne,B012F,Colchester BC,TM06361623,Pyefleet Spit,2013-11-04,2013-11-05,Pacific Oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3380,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2013-11-04,2013-11-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3381,Taw/Torridge,B036F,North Devon DC,SS47403210,Cool Stone - Instow ,2013-11-04,2013-11-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3382,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2013-11-04,2013-11-05,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3383,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2013-11-04,2013-11-05,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3385,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2013-11-05,2013-11-05,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3415,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2013-11-05,2013-11-06,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3416,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3417,Burry Inlet,B038T,City and Council of Swansea,SS4418695601,Whitford Point,2013-11-05,2013-11-06,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3418,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3419,The Wash,B003L,Boston BC,TF47734858,Wrangle,2013-11-05,2013-11-06,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3420,The Wash,B003D,Boston BC,TF44443712,Maretail,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3421,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2013-11-05,2013-11-06,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3422,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3423,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2013-11-05,2013-11-06,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3424,Exe,B026E,Teignbridge DC,SX97808090,Pool,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3425,Teign,B027G,Teignbridge DC,SX92737273,Gas Works ,2013-11-05,2013-11-06,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/3448,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52292843,Breast Sand,2013-11-06,2013-11-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
