SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2018-1066,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2018-06-11,2018-06-12,Mussels,,,,78,<RL,<RL,,
BTX-2018-1067,Colne,B012F,Colchester BC,TM0621816017,Pyefleet Spit,2018-06-11,2018-06-12,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1068,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2018-06-11,2018-06-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1069,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2018-06-11,2018-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1070,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2018-06-11,2018-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1071,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2018-06-11,2018-06-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1072,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2018-06-11,2018-06-12,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1073,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2018-06-11,2018-06-12,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1074,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2018-06-11,2018-06-12,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1075,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2018-06-11,2018-06-12,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
