SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2002/0468,The Solent,B24AX,Portsmouth PHA,SZ62239847,Haslar Wall,2002-06-25,2002-06-26,,Mussels,,,NEGATIVE,,BTX/2002/0468
BTX/2002/0480,The Thames,B016D,London PHA,TQ938827,Corporation Jetty,2002-06-26,2002-06-27,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0480
BTX/2002/0482,The Thames,B076F,London PHA,TR042651,River Swale #6,2002-06-27,2002-06-28,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0482
BTX/2002/0486,The Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2002-07-01,2002-07-02,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0486
BTX/2002/0487,The Thames,,Maldon DC,,Ray Sands,2002-06-28,2002-07-02,,Mussels,,,NEGATIVE,,BTX/2002/0487
BTX/2002/0488,The Thames,B16BQ,Maldon DC,TM08800210,Buxey Sands,2002-06-28,2002-07-02,,Cockles,DOA,DOA,DOA,DOA,BTX/2002/0488
BTX/2002/0499,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2002-07-02,2002-07-03,,Cockles,,POSITIVE,,,BTX/2002/0499
BTX/2002/0500,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2002-07-02,2002-07-03,,Cockles,,,NEGATIVE,,BTX/2002/0500
BTX/2002/0501,The Wash,,Kings Lynn & W Norfolk BC,,Inner West Mark Knock,2002-07-02,2002-07-03,,Cockles,,POSITIVE,,,BTX/2002/0501
BTX/2002/0494,West Mersea,B013B,Colchester BC,TM027122,Free Ground West,2002-07-02,2002-07-03,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0494
BTX/2002/0495,West Mersea,B013J,Colchester BC,TL980132,Upper Salcott,2002-07-02,2002-07-03,,Native oyster,ND,,,<LOD,BTX/2002/0495
BTX/2002/0496,West Mersea,,Colchester BC,,Strood Channel,2002-07-02,2002-07-03,,Native oyster,ND,,NEGATIVE,,BTX/2002/0496
BTX/2002/0478,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2002-06-26,2002-06-27,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0478
BTX/2002/0529,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2002-07-08,2002-07-09,,Cockles,,,NEGATIVE,,BTX/2002/0529
BTX/2002/0530,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2002-07-08,2002-07-09,,Cockles,,POSITIVE,,,BTX/2002/0530
BTX/2002/0532,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2002-07-09,2002-07-10,,Cockles,,,NEGATIVE,,BTX/2002/0532
BTX/2002/0533,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-09,2002-07-10,,Cockles,,,NEGATIVE,,BTX/2002/0533
BTX/2002/0534,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-09,2002-07-10,,mussels,,,NEGATIVE,,BTX/2002/0534
BTX/2002/0535,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2002-07-09,2002-07-10,,Mussels,,,NEGATIVE,,BTX/2002/0535
BTX/2002/0537,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-07-09,2002-07-10,,Mussels,ND,POSITIVE,,<LOD,BTX/2002/0537
BTX/2002/0519,Dee,B045O,Wirral BC,SJ227837,Caldy Blacks,2002-07-03,2002-07-09,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0519
BTX/2002/0525,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2002-07-08,2002-07-09,,Mussels,ND,,,<LOD,BTX/2002/0525
BTX/2002/0526,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2002-07-08,2002-07-09,,Mussels,ND,,,,BTX/2002/0526
BTX/2002/0527,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2002-07-08,2002-07-09,,Native oyster,ND,,,,BTX/2002/0527
BTX/2002/0528,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2002-07-08,2002-07-09,,Native oyster,ND,,,<LOD,BTX/2002/0528
BTX/2002/0542,Fishguard Harbour,B068B,Pembrokeshire CC,SM95063778,Goodwick Sands,2002-07-09,2002-07-10,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0542
BTX/2002/0540,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2002-07-09,2002-07-10,,Native oysters,ND,,NEGATIVE,<LOD,BTX/2002/0540
BTX/2002/0514,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2002-07-08,2002-07-09,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0514
BTX/2002/0515,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2002-07-08,2002-07-09,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0515
BTX/2002/0541,Poole,B054L,Poole Council,SZ002882,Ramshorn,2002-07-09,2002-07-10,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0541
BTX/2002/0538,Roach,B073H,London PHA,TQ948934,Paglesham Reach,2002-07-09,2002-07-10,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0538
BTX/2002/0536,Salcombe,,South hams DC,,Scoble Point,2002-07-08,2002-07-10,,Scallops,36ug/100g,,,,BTX/2002/0536
BTX/2002/0506,Southampton Water,B021F,Southampton PHA,SU479053,Hamble Estuary,2002-07-04,2002-07-05,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0506
BTX/2002/0508,Southampton Water,B021D,Southampton PHA,SU453077,Netley,2002-07-04,2002-07-05,,Native oyster,,,,,BTX/2002/0508
BTX/2002/0516,St Ives Bay,B088B,Penwith DC,SW58134283,Godrevy Cove,2002-07-08,2002-07-09,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0516
BTX/2002/0517,St Ives Bay,B088E,Penwith DC,SW53403880,Carrick Gladden,2002-07-08,2002-07-09,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0517
BTX/2002/0520,The Solent,B024B,Isle of Wight Council,SZ579940,Mother Bank,2002-07-08,2002-07-09,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0520
BTX/2002/0521,The Solent,B063B,Isle of Wight Council,SZ501951,Medina Wharf,2002-07-08,2002-07-09,,Native oyster,ND,,NEGATIVE,,BTX/2002/0521
BTX/2002/0507,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2002-07-04,2002-07-05,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0507
BTX/2002/0523,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2002-07-08,2002-07-09,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0523
BTX/2002/0505,The Thames,B016D,London PHA,TQ938827,Corporation Jetty,2002-07-03,2002-07-04,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0505
BTX/2002/0512,The Thames,B16BM,London PHA,TQ86208400,Chapman Sands,2002-07-08,2002-07-09,,Cockles,,POSITIVE,,,BTX/2002/0512
BTX/2002/0513,The Thames,B16BR,London PHA,TQ92208250,Phoenix,2002-07-08,2002-07-09,,Cockles,,,NEGATIVE,,BTX/2002/0513
BTX/2002/0539,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2002-07-09,2002-07-10,,Cockles,,,NEGATIVE,,BTX/2002/0539
BTX/2002/0511,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2002-07-08,2002-07-09,,Cockles,,,NEGATIVE,,BTX/2002/0511
BTX/2002/0509,The Wash,,Kings Lynn & W Norfolk BC,,Inner West Mark Knock,2002-07-08,2002-07-09,,Cockles,,,NEGATIVE,,BTX/2002/0509
BTX/2002/0510,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2002-07-08,2002-07-09,,Cockles,,POSITIVE,,,BTX/2002/0510
BTX/2002/0518,West Bay,,Purbeck DC,,"""Matt Palmer""",2002-07-08,2002-07-09,,Scallops,ND,,NEGATIVE,<LOD,BTX/2002/0518
BTX/2002/0543,Taw/Torridge,B036Q,Taw-Torridge DC,SS466305,Appledore ,2002-07-10,2002-07-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0543
BTX/2002/0544,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2002-07-10,2002-07-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0544
BTX/2002/0545,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2002-07-10,2002-07-11,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0545
BTX/2002/0547,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-07-11,2002-07-12,,Pacific oyster,,,NEGATIVE,,BTX/2002/0547
BTX/2002/0548,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2002-07-11,2002-07-12,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0548
BTX/2002/0549,Portland,B025F,Weymouth PHA,SY67327662,Matchstick,2002-07-15,2002-07-15,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0549
BTX/2002/0550,Weymouth Bay,,Weymouth PHA,SY69167845,Mixen Buoy,2002-07-15,2002-07-15,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0550
BTX/2002/0551,Morecambe Bay - East,B047D,Lancaster CC,SD407628,Heysham Flat Skeer,2002-07-15,2002-07-16,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0551
BTX/2002/0552,Plymouth,EC49,Plymouth PHA,,EC49,2002-07-15,2002-07-16,,Scallop,ND,,NEGATIVE,2.5,BTX/2002/0552
BTX/2002/0553,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2002-07-15,2002-07-16,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0553
BTX/2002/0554,Chichester Harbour,B018E,Havant BC,SU746005,Mill Rythe,2002-07-15,2002-07-16,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0554
BTX/2002/0555,Chichester Harbour,B018C,Havant BC,SU784016,Chichester Chnl,2002-07-15,2002-07-16,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0555
BTX/2002/0556,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2002-07-14,2002-07-16,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0556
BTX/2002/0557,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2002-07-15,2002-07-16,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0557
BTX/2002/0558,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2002-07-15,2002-07-16,,Cockles,ND,POSITIVE,,<LOD,BTX/2002/0558
BTX/2002/0559,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2002-07-15,2002-07-16,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0559
BTX/2002/0560,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels,2002-07-14,2002-07-16,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0560
BTX/2002/0561,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2002-07-15,2002-07-16,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0561
BTX/2002/0562,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2002-07-15,2002-07-16,,Cockles,,,NEGATIVE,,BTX/2002/0562
BTX/2002/0563,The Wash,,Kings Lynn & W Norfolk BC,,Inner West Mark Knock,2002-07-15,2002-07-16,,Cockles,,,NEGATIVE,,BTX/2002/0563
BTX/2002/0564,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2002-07-15,2002-07-16,,Cockles,,POSITIVE,,,BTX/2002/0564
BTX/2002/0566,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2002-07-14,2002-07-16,,Cockles,,,NEGATIVE,,BTX/2002/0566
BTX/2002/0567,Blakeney,B006C,North Norfolk DC,TF990453,Simpool,2002-07-16,2002-07-17,,Mussels,ND,,,,BTX/2002/0567
BTX/2002/0568,The Thames,,Maldon DC,,Ray Sands,2002-07-12,2002-07-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0568
BTX/2002/0569,The Thames,B16BQ,Maldon DC,TM08800210,Buxey Sands,2002-07-12,2002-07-17,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0569
BTX/2002/0570,Salcombe,,South hams DC,,Batson Creek,2002-07-15,2002-07-17,,Cockles,38.93,POSITIVE,,<LOD,BTX/2002/0570
BTX/2002/0571,Ravenglass,B053C,Copeland DC,SD08359610,Ravenglass 2,2002-07-15,2002-07-17,,Mussels,ND,POSITIVE,,<LOD,BTX/2002/0571
BTX/2002/0572,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2002-07-16,2002-07-17,,Native oysters,ND,,NEGATIVE,<LOD,BTX/2002/0572
BTX/2002/0573,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2002-07-16,2002-07-17,,Mussels,ND,,,,BTX/2002/0573
BTX/2002/0574,Poole,B054Q,Poole Borough Council,SZ064858,Bournemouth Pier,2002-07-16,2002-07-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0574
BTX/2002/0575,The Solent,B24AX,Portsmouth PHA,SZ62239847,Haslar Wall,2002-07-16,2002-07-17,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0575
BTX/2002/0576,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2002-07-16,2002-07-17,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0576
BTX/2002/0577,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2002-07-16,2002-07-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0577
BTX/2002/0578,Salcombe,B029D,South hams DC,SX7554148,Geese quarries,2002-07-16,2002-07-17,,Mussels,ND,,,,BTX/2002/0578
BTX/2002/0579,The Thames,B076F,London PHA,TR042651,River Swale,2002-07-16,2002-07-17,,Cockles,ND,POSITIVE,,<LOD,BTX/2002/0579
BTX/2002/0580,The Wash,B004F,Kings Lynn & W Norfolk BC,TF602342,Stylemans,2002-07-16,2002-07-17,,Mussels,,,NEGATIVE,,BTX/2002/0580
BTX/2002/0581,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2002-07-15,2002-07-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0581
BTX/2002/0582,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-15,2002-07-17,,Cockles,,POSITIVE,,,BTX/2002/0582
BTX/2002/0583,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2002-07-15,2002-07-17,,Cockles,,,NEGATIVE,,BTX/2002/0583
BTX/2002/0584,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-15,2002-07-17,,mussels,,,NEGATIVE,,BTX/2002/0584
BTX/2002/0585,Fleet Lagoon,,Weymouth PHA,,Fleet Lagoon,2002-07-17,2002-07-17,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0585
BTX/2002/0586,The Thames,B016R,London PHA,TQ937749,Barton Point,2002-07-17,2002-07-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0586
BTX/2002/0587,Liverpool Bay- N. Wirral,B058D,Mersey PHA,SJ250920,Leasowe Lighthouse,2002-07-15,2002-07-18,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0587
BTX/2002/0588,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-07-18,2002-07-19,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0588
BTX/2002/0589,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-07-18,2002-07-19,,Pacific oysters,ND,,NEGATIVE,<LOD,BTX/2002/0589
BTX/2002/0591,Burry Inlet,,City and Council of Swansea,SS472961,Oxwich Bay,2002-07-18,2002-07-19,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0591
BTX/2002/0592,Weymouth Inner Harbour,,Weymouth PHA,,Inner Harbour,2002-07-22,2002-07-22,,Mussels,ND,,,,BTX/2002/0592
BTX/2002/0593,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2002-07-22,2002-07-23,,Cockles,,,NEGATIVE,,BTX/2002/0593
BTX/2002/0594,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2002-07-22,2002-07-23,,Cockles,,POSITIVE,,,BTX/2002/0594
BTX/2002/0596,Salcombe,,South hams DC,,Frogmore Creek,2002-07-22,2002-07-23,,Cockles,ND,,,<LOD,BTX/2002/0596
BTX/2002/0597,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2002-07-22,2002-07-23,,Cockles,,POSITIVE,,,BTX/2002/0597
BTX/2002/0598,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2002-07-22,2002-07-23,,Cockles,ND,POSITIVE,,<LOD,BTX/2002/0598
BTX/2002/0599,Salcombe,,South hams DC,,Bowcombe Creek,2002-07-22,2002-07-23,,Cockles,83ug/100g,,,,BTX/2002/0599
BTX/2002/0600,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2002-07-22,2002-07-23,,Mussels,ND,,,,BTX/2002/0600
BTX/2002/0601,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2002-07-22,2002-07-23,,Mussels,ND,,,,BTX/2002/0601
BTX/2002/0602,Plymouth,EC63,Plymouth PHA,,EC 49,2002-07-22,2002-07-23,,Scallop,,,,2.77,BTX/2002/0602
BTX/2002/0603,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2002-07-22,2002-07-23,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0603
BTX/2002/0604,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2002-07-22,2002-07-23,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0604
BTX/2002/0605,The Solent,,Isle of Wight Council,,Saltmead Ledge,2002-07-22,2002-07-23,,Native oyster,ND,,,,BTX/2002/0605
BTX/2002/0606,Crouch,B015A,Maldon DC,TQ901973,Althorne Creek,2002-07-22,2002-07-23,,Native oyster,ND,,,<LOD,BTX/2002/0606
BTX/2002/0607,Alde/Ore,,Suffolk Coastal DC,,Aldeburgh,2002-07-22,2002-07-23,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0607
BTX/2002/0608,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2002-07-22,2002-07-23,,Pacific oysters,ND,,NEGATIVE,<LOD,BTX/2002/0608
BTX/2002/0609,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2002-07-17,2002-07-23,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0609
BTX/2002/0610,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2002-07-17,2002-07-23,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0610
BTX/2002/0611,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2002-07-17,2002-07-23,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0611
BTX/2002/0612,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2002-07-17,2002-07-23,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0612
BTX/2002/0613,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2002-07-22,2002-07-23,,Cockles,,,NEGATIVE,,BTX/2002/0613
BTX/2002/0614,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2002-07-22,2002-07-23,,Cockles,,,NEGATIVE,,BTX/2002/0614
BTX/2002/0616,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-23,2002-07-24,,Cockles,,,NEGATIVE,,BTX/2002/0616
BTX/2002/0617,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2002-07-23,2002-07-24,,Cockles,,,NEGATIVE,,BTX/2002/0617
BTX/2002/0618,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-23,2002-07-24,,mussels,,,NEGATIVE,,BTX/2002/0618
BTX/2002/0619,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2002-07-23,2002-07-24,,Mussels,,,NEGATIVE,,BTX/2002/0619
BTX/2002/0620,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2002-07-22,2002-07-24,,Cockles,,POSITIVE,,,BTX/2002/0620
BTX/2002/0621,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2002-07-22,2002-07-24,,Cockles,,,NEGATIVE,,BTX/2002/0621
BTX/2002/0622,The Wash,,Boston Borough Council,,Inner West Mark Knock,2002-07-22,2002-07-24,,Cockles,,POSITIVE,,,BTX/2002/0622
BTX/2002/0623,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-07-23,2002-07-24,,Mussels,,,NEGATIVE,,BTX/2002/0623
BTX/2002/0624,Dart,,South Hams DC,,Flat Owers,2002-07-23,2002-07-24,,Cockles,,POSITIVE,,,BTX/2002/0624
BTX/2002/0625,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2002-07-23,2002-07-24,,Pacific oysters,ND,,NEGATIVE,<LOD,BTX/2002/0625
BTX/2002/0626,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2002-07-23,2002-07-24,,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2002/0626
BTX/2002/0627,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2002-07-23,2002-07-24,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0627
BTX/2002/0628,Fishguard Harbour,B068B,Pembrokeshire CC,SM95063778,Goodwick Sands,2002-07-23,2002-07-24,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0628
BTX/2002/0629,Colne,B012E,Colchester BC,TM050164,Peewit Island,2002-07-23,2002-07-24,,Native oyster,ND,,,<LOD,BTX/2002/0629
BTX/2002/0630,The Thames,B076F,London PHA,TR042651,River Swale #6,2002-07-23,2002-07-24,,Cockles,,,NEGATIVE,,BTX/2002/0630
BTX/2002/0631,Glaslyn/Dwyryd Estuary,B074B,Gwynedd County BC,SH579365,Dwyrd Estuary,2002-07-29,2002-07-25,,Cockles,,,NEGATIVE,,BTX/2002/0631
BTX/2002/0632,Ribble,B046C,W. Lancs DC,SD328259,Salters Bank,2002-07-29,2002-07-30,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0632
BTX/2002/0633,The Wash,,Kings Lynn & W Norfolk BC,,Inner West Mark Knock,2002-07-29,2002-07-30,,Cockles,,POSITIVE,,,BTX/2002/0633
BTX/2002/0634,The Wash,B003B,Boston Borough Council,TF51604930,Friskney,2002-07-29,2002-07-30,,Cockles,,,NEGATIVE,,BTX/2002/0634
BTX/2002/0635,The Wash,,Kings Lynn & W Norfolk BC,,Daseleys,2002-07-29,2002-07-30,,Cockles,,POSITIVE,,,BTX/2002/0635
BTX/2002/0636,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2002-07-29,2002-07-30,,Cockles,,,NEGATIVE,,BTX/2002/0636
BTX/2002/0637,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2002-07-29,2002-07-30,,Cockles,,,NEGATIVE,,BTX/2002/0637
BTX/2002/0638,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2002-07-29,2002-07-30,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0638
BTX/2002/0642,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2002-07-29,2002-07-30,,Cockles,,,NEGATIVE,,BTX/2002/0642
BTX/2002/0643,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2002-07-29,2002-07-30,,Cockles,,,NEGATIVE,,BTX/2002/0643
BTX/2002/0644,West Mersea,B013B,Colchester BC,TM027122,Free Ground West,2002-07-30,2002-07-31,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0644
BTX/2002/0645,West Mersea,B013J,Colchester BC,TL980132,Upper Salcott,2002-07-30,2002-07-31,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0645
BTX/2002/0646,West Mersea,,Colchester BC,,Strood Channel,2002-07-30,2002-07-31,,Native oyster,ND,,,<LOD,BTX/2002/0646
BTX/2002/0647,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2002-07-30,2002-07-31,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0647
BTX/2002/0648,Falmouth Bay,EC34,Falmouth and Truro PHA,EC34,Falmouth Bay,2002-07-30,2002-07-31,,Scallop,ND,,NEGATIVE,<LOD,BTX/2002/0648
BTX/2002/0649,Blackwater,B013F,Maldon DC,TL98611115,Tollesbury North Fleet,2002-07-29,2002-07-31,,Native oyster,ND,,NEGATIVE,<LOD,BTX/2002/0649
BTX/2002/0650,Bigbury and Avon,B030C,South hams DC,SX67254489,Hexdown Quay,2002-07-30,2002-07-31,,Mussels,ND,,NEGATIVE,<LOD,BTX/2002/0650
BTX/2002/0651,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2002-07-30,2002-07-31,,Mussels,ND,,,<LOD,BTX/2002/0651
BTX/2002/0652,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2002-07-30,2002-07-31,,Pacific oyster,ND,,,<LOD,BTX/2002/0652
BTX/2002/0653,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2002-07-29,2002-07-31,,Cockles,,,NEGATIVE,,BTX/2002/0653
BTX/2002/0654,The Thames,B16AK,London PHA,TR011860,West Maplin,2002-07-29,2002-07-31,,Cockles,,POSITIVE,,,BTX/2002/0654
BTX/2002/0655,The Thames,B16AF,London PHA,TM11940000,Foulness Sands,2002-07-29,2002-07-31,,Cockles,,POSITIVE,,,BTX/2002/0655
BTX/2002/0656,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2002-07-30,2002-07-31,,Cockles,,,NEGATIVE,,BTX/2002/0656
BTX/2002/0657,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2002-07-30,2002-07-31,,Cockles,ND,,NEGATIVE,<LOD,BTX/2002/0657
BTX/2002/0660,Silloth,B059E,Allerdale DC,NY076517,Silloth,2002-07-31,2002-08-01,,Mussels,,,NEGATIVE,<LOD,BTX/2002/0660
BTX/2002/0661,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-08-01,2002-08-02,,Cockles,,,NEGATIVE,,BTX/2002/0661
BTX/2002/0662,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-08-01,2002-08-02,,Pacific oysters,,,NEGATIVE,,BTX/2002/0662
BTX/2002/0663,Dart,B028B,South Hams DC,SX87405598,Waddeton,2002-08-01,2002-08-02,,Pacific oysters,,,NEGATIVE,,BTX/2002/0663
BTX/2002/0664,The Wash,,Kings Lynn & W Norfolk BC,,"""Mairs Tail"" Cally Suranne",2002-08-01,2002-08-02,,Cockles,,,NEGATIVE,,BTX/2002/0664
BTX/2002/0665,The Wash,,Kings Lynn & W Norfolk BC,,"""Mairs Tail"" Intrepid",2002-08-01,2002-08-02,,Cockles,,POSITIVE,,,BTX/2002/0665
BTX/2002/0666,The Wash,,Kings Lynn & W Norfolk BC,,"""Mairs Tail"" Roy Bagley",2002-08-01,2002-08-02,,Cockles,,POSITIVE,,,BTX/2002/0666
