SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2005/0923,Exe,B26AT,East Devon DC,SY99698050,Beacon Point,2005-10-03,2005-10-04,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0923
BTX/2005/0924,Lyme Bay,B090C,East Devon DC,SY03437913,Sandy Bay,2005-10-03,2005-10-04,,Surf Clams,ND,,NEGATIVE,<RL,BTX/2005/0924
BTX/2005/0925,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2005-10-03,2005-10-04,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0925
BTX/2005/0926,Roach,B073H,London PHA,TQ948934,Paglesham Reach,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0926
BTX/2005/0927,The Thames,B16BR,London PHA,TQ92208250,Phoenix,2005-10-03,2005-10-04,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0927
BTX/2005/0928,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2005-10-03,2005-10-04,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0928
BTX/2005/0929,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2005-10-03,2005-10-04,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0929
BTX/2005/0930,Walton Backwaters,B011G,Tendering DC ,TM22142478,Kirby Creek,2005-10-03,2005-10-04,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0930
BTX/2005/0931,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2005-10-03,2005-10-04,,Hard Clams,ND,,NEGATIVE,<RL,BTX/2005/0931
BTX/2005/0933,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0933
BTX/2005/0934,Milford Haven,B039M,Pembrokeshire CC,SN01600590,Lawrenny Quay,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0934
BTX/2005/0935,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther,2005-10-04,2005-10-05,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0935
BTX/2005/0936,Dart,B028B,South Hams DC,SX87405598,Waddeton,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0936
BTX/2005/0937,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2005-10-04,2005-10-05,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0937
BTX/2005/0938,Southampton Water,B021F,Southampton PHA,SU479053,Hamble Estuary,2005-10-04,2005-10-05,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0938
BTX/2005/0939,Southampton Water,B021D,Southampton PHA,SU453077,Netley,2005-10-04,2005-10-05,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/0939
BTX/2005/0940,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0940
BTX/2005/0941,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0941
BTX/2005/0942,Poole,B54BA,Poole BC,SZ00508810,West Brownsea,2005-10-04,2005-10-05,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/0942
BTX/2005/0943,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2005-10-04,2005-10-05,,Mussels,ND,,,,BTX/2005/0943
BTX/2005/0944,Taw/Torridge,B036N,Taw-Torridge DC,SS466305,Appledore Lifeboat slip,2005-10-04,2005-10-05,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/0944
