SampleNumber,NameofSite,NameOfBed,LocalAuthority,GridReference,BedId,DateSampleArrivedAtBurnham,DateSampleArrivedAtWeymouth,DateSampleCollected,SpeciesSampled,PSPResult_STX_Equivalent,DSPResultPositive_Negative,DomoicAcid
BTX/2001/0275,Ravenglass,B053C,Copeland BC,SD08359610,Ravenglass 2,2001-07-23,2001-07-24,2001-07-24,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0276,Burry Inlet,B038G,Carmarthenshire C C,SS483005,Site 6 Pwll,2001-07-23,2001-07-24,,Mussels,DSP only,NEGATIVE,
BTX/2001/0277,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-07-23,2001-07-24,,Cockles,DSP only,NEGATIVE,
BTX/2001/0278,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-07-23,2001-07-24,,Cockles,DSP only,NEGATIVE,
BTX/2001/0279,Portland,B025F,Weymouth PHA,SY68277575,Wyke,2001-07-24,2001-07-24,2001-07-25,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0280,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0281,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2001-07-23,2001-07-25,,Cockles,DSP only,NEGATIVE,
BTX/2001/0282,The Thames,B016D,London PHA,,Corporation Jetty,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0283,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2001-07-24,2001-07-25,,Cockles,DSP only,NEGATIVE,
BTX/2001/0284,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2001-07-24,2001-07-25,2001-07-25,Native oysters,ND,NEGATIVE,<LOD
BTX/2001/0285,Plymouth,B032L,Plymouth PHA,SX407567,Lynher - Shillingham,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0286,Silloth,B059E,Allerdale DC,NY076517,Silloth,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0287,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,PSP only,<LOD
BTX/2001/0288,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2001-07-24,2001-07-25,2001-07-25,Mussels,ND,PSP only,<LOD
BTX/2001/0289,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2001-07-24,2001-07-25,2001-07-25,Native oysters,ND,NEGATIVE,<LOD
BTX/2001/0290,,VIIE,Wyre BC,VIIE,"""Picker""",2001-07-24,2001-07-26,2001-07-25,Scallops,,,<LOD
BTX/2001/0291,Burry Inlet,B038L,City and Council of Swansea,SS444973,Whitford Point,2001-07-23,2001-07-25,,Mussels,DSP only,NEGATIVE,
BTX/2001/0292,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-07-23,2001-07-25,,Cockles,DSP only,POSITIVE,
BTX/2001/0293,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-07-23,2001-07-25,,Cockles,DSP only,NEGATIVE,
BTX/2001/0294,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-07-23,2001-07-25,,Cockles,DSP only,NEGATIVE,
BTX/2001/0295,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-07-23,2001-07-25,,Cockles,DSP only,POSITIVE,
BTX/2001/0290,,VIIE,Wyre BC,VIIE,"""Picker""",2001-07-24,2001-07-26,2001-07-25,Scallops,ND,NEGATIVE,<LOD
BTX/2001/0296,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2001-07-25,2001-07-26,2001-07-26,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0297,R. Dart,B028B,South Hams DC,SX87405598,Waddeton,2001-07-25,2001-07-26,2001-07-26,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0298,Ribble,B046C,W. Lancs DC,SD328259,Salters Bank,2001-07-25,2001-07-26,2001-07-26,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0299,Anglesey,B056A,Ynys Mon CC,SH39506630,Cefni Estuary,2001-07-30,2001-07-31,,Cockles,ND,NEGATIVE,
BTX/2001/0300,Menai Strait West,B042A,Ynys Mon CC,SH47906510,Barras Is.,2001-07-30,2001-07-31,,Mussels,ND,NEGATIVE,
BTX/2001/0301,Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2001-07-30,2001-07-31,,Cockles,ND,NEGATIVE,
BTX/2001/0302,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2001-07-26,2001-07-31,2001-07-31,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0303,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2001-07-30,2001-07-31,2001-07-31,Pacific oysters,ND,NEGATIVE,<LOD
BTX/2001/0304,Portsmouth,B020B,Portsmouth PHA,SU60290411,Peewit Isle,2001-07-30,2001-07-31,2001-07-31,Native oysters,ND,Insufficient,<LOD
BTX/2001/0305,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2001-07-30,2001-07-31,2001-07-31,Native oysters,ND,weight ,<LOD
BTX/2001/0306,The solent,B020E,Portsmouth PHA,,Haslar Wall,2001-07-30,2001-07-31,2001-07-31,Native oysters,ND,for DSP,<LOD
BTX/2001/0307,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0308,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0309,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-07-30,2001-07-31,,Cockles,DSP only,POSITIVE,
BTX/2001/0310,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-07-30,2001-07-31,,Pacific oysters,DSP only,NEGATIVE,
BTX/2001/0311,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-07-30,2001-07-31,,Clams,DSP only,NEGATIVE,
BTX/2001/0312,Burry Inlet,B038G,Carmarthenshire C C,SS483005,Site 6 Pwll,2001-07-30,2001-07-31,,Mussels,DSP only,NEGATIVE,
BTX/2001/0313,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0314,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0315,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0316,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0317,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-07-30,2001-07-31,,Cockles,DSP only,NEGATIVE,
BTX/2001/0318,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-07-30,2001-07-31,,Cockles,DSP only,POSITIVE,
BTX/2001/0319,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2001-07-31,2001-08-01,2001-08-01,Native oysters,ND,NEGATIVE,<LOD
BTX/2001/0320,West Mersea,B031F,Maldon DC,TL98611115,Tollesbury North,2001-07-31,2001-08-01,2001-08-01,Native oysters,ND,NEGATIVE,<LOD
BTX/2001/0321,Exe,B26AA,Teignbridge DC,SX977809,Pool,2001-07-31,2001-08-01,2001-08-01,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0322,Teign,B027V,Teignbridge DC,SX91417275,Gappa Bank,2001-07-31,2001-08-01,2001-08-01,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0323,,ICES 1521,Wyre BC,,ICES 1521,2001-07-31,2001-08-01,2001-08-01,Scallops,ND,NEGATIVE,<LOD
BTX/2001/0324,Milford Haven,,Milford PHA,SN010062,Lawrenny Quay,2001-07-31,2001-08-01,,Mussels,ND,NEGATIVE,
BTX/2001/0325,Milford Haven,B039H,Milford PHA,SN001086,Coedcanlas Spit,2001-07-31,2001-08-01,2001-08-01,Mussels,33.66,NEGATIVE,<LOD
BTX/2001/0326,Fishguard Harbour,B068B,Pembrokeshire CC,SM95063778,Goodwick Sands,2001-07-31,2001-08-01,2001-08-01,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0364,Blyth,,River Blyth PHA,,Workshop Quay,2001-08-06,2001-08-08,2001-08-07,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0365,The Wash,B004F,Kings Lynn & W Norfolk BC,TF602342,Stylemans,2001-08-06,2001-08-08,2001-08-08,Mussels,ND,NEGATIVE,<LOD
BTX/2001/0370,The Wash,B003D,Boston Borough Council,TF439377,Maretail,2001-08-07,2001-08-09,2001-08-09,Mussels,ND,NEGATIVE,
BTX/2001/0342,Blakeney,B006C,North Norfolk DC,TF990453,Simpool,2001-08-06,2001-08-07,2001-08-07,Mussels,ND,NEGATIVE,<LOD
