SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2021/0062,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2025-01-13,Cockles,Detected,<400,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0063,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2025-01-13,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0064,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2025-01-13,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0065,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2025-01-13,Hard clams,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0066,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2025-01-13,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0067,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2025-01-13,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0068,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2025-01-12,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0069,Roach,B73AF,London PHA,TQ94909207,Paglesham,2025-01-13,Hard clams,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0084,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2025-01-14,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0085,The Wash,B003V,Boston BC,TF44234098,Toft,2025-01-14,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0086,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2025-01-14,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0087,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2025-01-14,Hard clams,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0088,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2025-01-14,Surf clams,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0089,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2025-01-14,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0090,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2025-01-14,Mussels,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0091,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2025-01-14,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0094,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2025-01-15,Pacific oysters,ND,,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0100,North Kent Coast,B17BS,Canterbury CC,TR1038266803,WOCO Westbeach,2025-01-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0101,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2025-01-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0103,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2025-01-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0104,Swale,B076P,Swale BC,TR01316497,The Causeway,2025-01-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0111,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2025-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0112,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2025-01-20,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0113,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2025-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0114,Dee,B45AG,Wirral BC,SJ21068470,West Kirby,2025-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0119,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,2025-01-21,Queen scallops,Detected,?400,<RL,<RL,<RL,<RL,<LOQ
BTX/2021/0120,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-01-21,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0121,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2025-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0122,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2025-01-21,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0123,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,2025-01-21,Mussels,Not tested,,,Not tested,Not tested,Not tested,Not tested
BTX/2021/0126,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2025-01-22,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0127,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2025-01-22,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0134,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2025-01-27,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0135,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-01-28,Queen scallops,Not tested,,,Not tested,Not tested,Not tested,Not tested
BTX/2021/0136,Fal (Lower),B33BW,Cornwall PHA,SW83683833,East Bank North,2025-01-28,Queen scallops,Not tested,,,Not tested,Not tested,Not tested,Not tested
BTX/2021/0154,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2025-02-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0155,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2025-02-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0172,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2025-02-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0173,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2025-02-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0174,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2025-02-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0175,The Wash,B003V,Boston BC,TF44234098,Toft,2025-02-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0176,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2025-02-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0179,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2025-02-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0180,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2025-02-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0181,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-02-04,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0182,Fal (Lower),B33BW,Cornwall PHA,SW83683833,East Bank North,2025-02-04,Queen scallops,Detected,?400,226,<RL,<RL,<RL,<LOQ
BTX/2021/0187,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF7987845358,Norton Creek Mussels,2025-02-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0188,Taw/Torridge,B36AV,North Devon DC,SS4653231340,Neck Gut,2025-02-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0191,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2025-02-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0201,Burry Inlet,B38AI,Carmarthenshire CC,SN4562799840,Burry Port,2025-02-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0202,Conwy,B044V,Conwy CBC,SH763087922,Conwy West,2025-02-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0203,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2025-02-10,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0204,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2025-02-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0205,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2025-02-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0206,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2025-02-09,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0217,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2025-02-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0218,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-02-11,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0219,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-02-11,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0220,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2025-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0221,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2025-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0222,Bigbury and Avon,B030J,South Hams DC,SX67074458,South Hexdown North,2025-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0223,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2025-02-11,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0224,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2025-02-11,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0225,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2025-02-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0226,Porlock,B094D,Somerset West & Taunton Council,SS87114787,Porlock East,2025-02-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0230,Roach,B73AF,London PHA,TQ94909207,Paglesham,2025-02-12,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0233,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2025-02-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0234,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2025-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0235,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2025-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0236,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2025-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0237,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2025-02-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0238,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2025-02-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0256,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2025-02-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0257,Fal (Upper),B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2025-02-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0258,Fal (Lower),B33BG,Cornwall PHA,SW82803517,Mylor Pool,2025-02-17,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0259,Fal (Upper),B033E,Cornwall PHA,SW85134212,Grimes Bar,2025-02-17,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0260,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2025-02-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0261,North Kent Coast,B17BS,Canterbury CC,TR1037566797,WOCO Westbeach,2025-02-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0262,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2025-02-17,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0265,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-02-18,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0266,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,2025-02-18,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0267,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2025-02-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0268,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2025-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0269,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2025-02-18,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0270,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2025-02-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0271,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2025-02-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0277,Swale,B076P,Swale BC,TR01316497,The Causeway,2025-02-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0287,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2025-02-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0295,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2025-02-24,Pacific Oysters,ND ,,,<RL,<RL,<RL,<LOQ
BTX/2021/0296,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2025-02-23,Mussels,ND ,,,<RL,<RL,<RL,<LOQ
BTX/2021/0297,Lyme Bay,B090M,Torbay BC,Unverified (SY13687543),Site 1,2025-02-23,Mussels,ND ,,,<RL,<RL,<RL,<LOQ
BTX/2021/0298,Dee,B45AG,Wirral BC,SJ21468468,West Kirby,2025-02-23,Mussels,ND ,,,<RL,<RL,<RL,<LOQ
BTX/2021/0300,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2025-02-25,Pacific oysters,ND,,,,,,
BTX/2021/0301,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-02-25,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0302,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-02-25,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0303,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2025-02-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0304,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2025-02-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0305,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2025-02-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0310,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2025-02-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0311,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2025-02-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0312,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2025-02-26,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0319,Bigbury and Avon,B030J,South Hams DC,SX67074458,South Hexdown North,2025-03-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0342,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2025-03-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0343,The Wash,B003V,Boston BC,TF44234098,Toft,2025-03-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0344,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2025-03-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0345,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2025-03-03,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0360,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2025-03-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0361,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2025-03-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0362,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-03-04,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0363,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2025-03-04,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0366,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2025-03-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0378,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF7987845358,Norton Creek Mussels,2025-03-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0380,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2025-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0393,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2025-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0394,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2025-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0395,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2025-03-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0396,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2025-03-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0397,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2025-03-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0398,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2025-03-10,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0399,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2025-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0400,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2025-03-10,Surf clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0401,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2025-03-10,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0402,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2025-03-10,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0403,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2025-03-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0404,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2025-03-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0405,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2025-03-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0406,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut,2025-03-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0410,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2025-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0411,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2025-03-11,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0412,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2025-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0413,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2025-03-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0414,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2025-03-12,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0417,Burry Inlet,B38AI,Carmarthenshire CC,SN46010018,Burry Port,2025-03-16,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0418,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2025-03-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0419,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2025-03-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0420,Roach,B73AF,London PHA,TQ94909207,Paglesham,2025-03-16,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0421,Lune,B066Z,Wyre BC,SD34194862,Knott Spit,2025-03-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0422,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2025-03-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0423,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point,2025-03-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0424,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2025-03-16,Pacific oysters,Unsuitable,,,Unsuitable,Unsuitable,Unsuitable,Unsuitable
BTX/2021/0425,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2025-03-13,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0440,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2025-03-17,Mussels,ND,,,,,,
BTX/2021/0441,Fal (Lower),B33BX,Cornwall PHA,SW82803517,Mylor Pool,2025-03-17,Queen scallops,Detected,,,<RL,<RL,<RL,<LOQ
BTX/2021/0442,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-03-17,Queen scallops,Detected,,,<RL,<RL,<RL,<LOQ
BTX/2021/0443,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,2025-03-17,Queen scallops,Detected,,,<RL,<RL,<RL,<LOQ
BTX/2021/0444,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2025-03-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0445,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2025-03-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0446,Lyme Bay,B090M,Torbay BC,SY13687543,Site 1,2025-03-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0447,North Kent Coast,B17BS,Canterbury CC,TR1038266504,WOCO Westbeach,2025-03-17,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0450,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2025-03-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0451,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2025-03-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0459,Swale,B076P,Swale BC,TR01316497,The Causeway,2025-03-19,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0460,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2025-03-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0469,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2025-03-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0478,Fal (Upper),B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2025-03-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0479,Fal (Upper),B033E,Cornwall PHA,SW85134212,Grimes Bar,2025-03-24,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0480,Dee,B45AG,Wirral BC,SJ21068470,West Kirby,2025-03-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0485,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2025-03-25,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0486,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2025-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0487,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2025-03-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0488,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-03-26,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0495,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2025-03-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0496,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2025-03-30,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0497,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2025-03-30,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0498,Portland,B25Ak,Dorset Council,SY68707757,Site A (M. sp),2025-03-31,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0499,Portland,B25AM,Dorset Council,SY68707757,Site A (P. ma),2025-03-31,King scallops,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0525,Fal (Upper),B33CA,Cornwall PHA,SW84123916,South Wood,2025-04-07,Queen scallops,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2021/0526,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2025-04-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2021/0527,Fal (Lower),B33AN,Cornwall PHA,SW81963546,Mylor Creek,2025-04-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ
