SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2020/2262,Lune,B066Z,Wyre BC,SD34194862,Knott Spit,2024-09-24,Mussels,Not tested ,,,Not tested ,Not tested ,Not tested ,Not tested 
BTX/2020/2263,Lune,B066W,Wyre BC,SD41835241,Pilling Sands East,2024-09-24,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2272,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2024-09-29,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2273,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-09-28,Pacific oysters,ND,,,,,,
BTX/2020/2308,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2024-09-30,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2309,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2024-09-30,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2310,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2024-09-30,Native oysters,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2325,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2024-10-02,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2326,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2024-10-02,Cockles,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2327,Roach,B73AF,London PHA,TQ94909207,Paglesham,2024-10-02,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2328,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2024-10-02,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/2329,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2024-10-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2330,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-10-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2331,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2332,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2333,Mevagissey Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2334,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2335,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2380,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2024-10-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2381,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2024-10-07,Pacific oysters,ND,,,<RL,<RL,<RL,1.4
BTX/2020/2382,The Wash,B003V,Boston BC,TF44234098,Toft,2024-10-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2383,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2024-10-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/2384,Poole,B54CL,Bournemouth Poole Christchurch Council,SZ01818870,West Brownsea 1,2024-10-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ
